elapsed time sensors,current,voltage,acc x (IMU),acc y (IMU),W (IMU),vel encoder,safety_value,throttle,steering
343.30108642578125,0.0,0.0,1.4600000381469727,-0.17000000178813934,0.10000000149011612,0.0,0.0,0.31086957454681396,-0.15000000596046448
343.40216064453125,0.0,0.0,2.0199999809265137,0.0,-0.3100000023841858,0.0,0.0,0.31086957454681396,-0.15000000596046448
343.5023193359375,0.0,0.0,0.9599999785423279,-0.7099999785423279,-0.09000000357627869,0.0,0.0,0.31086957454681396,-0.15000000596046448
343.60174560546875,0.0,0.0,0.5,-0.20999999344348907,0.05999999865889549,0.0,0.0,0.31086957454681396,-0.15000000596046448
343.7018127441406,0.0,0.0,-0.23000000417232513,-0.20999999344348907,-0.20000000298023224,0.0,0.0,0.31086957454681396,-0.15000000596046448
343.8015441894531,0.0,0.0,-3.799999952316284,1.8700000047683716,-0.11999999731779099,0.0,0.0,0.31086957454681396,-0.15000000596046448
343.9022521972656,0.0,0.0,-0.009999999776482582,-0.07000000029802322,-0.019999999552965164,0.019999999552965164,0.0,0.31086957454681396,-0.15000000596046448
344.00213623046875,0.0,0.0,-1.100000023841858,-1.6100000143051147,-0.05000000074505806,0.019999999552965164,0.0,0.3068695664405823,-0.15000000596046448
344.1019287109375,0.0,0.0,0.07000000029802322,-0.1599999964237213,0.009999999776482582,0.0,0.0,0.3068695664405823,-0.15000000596046448
344.2009582519531,0.0,0.0,-0.2199999988079071,-0.2800000011920929,-0.0,0.0,0.0,0.31086957454681396,-0.15000000596046448
344.3002624511719,0.0,0.0,-0.3700000047683716,-0.38999998569488525,0.0,0.0,1.0,0.31086957454681396,-0.15000000596046448
344.4007873535156,0.0,0.0,1.059999942779541,0.8199999928474426,-0.05000000074505806,0.10999999940395355,1.0,0.31086957454681396,-0.15000000596046448
344.5005187988281,0.0,0.0,2.6500000953674316,-0.1599999964237213,-0.11999999731779099,0.25,1.0,0.28886955976486206,-0.15000000596046448
344.60101318359375,0.0,0.0,2.5999999046325684,-0.15000000596046448,-0.28999999165534973,0.3700000047683716,1.0,0.260869562625885,-0.15000000596046448
344.7008972167969,0.0,0.0,-0.33000001311302185,-0.4399999976158142,-0.25999999046325684,0.4399999976158142,1.0,0.23686955869197845,-0.15000000596046448
344.80181884765625,0.0,0.0,-3.2200000286102295,-1.909999966621399,-0.4399999976158142,0.47999998927116394,1.0,0.22286956012248993,-0.15000000596046448
344.90087890625,0.0,0.0,-1.0800000429153442,-0.8799999952316284,-0.3100000023841858,0.5299999713897705,1.0,0.21486957371234894,-0.15000000596046448
345.0017395019531,0.0,0.0,3.390000104904175,-0.03999999910593033,-0.46000000834465027,0.5,1.0,0.2048695683479309,-0.15000000596046448
345.1008605957031,0.0,0.0,-3.359999895095825,-4.269999980926514,-0.3700000047683716,0.5299999713897705,1.0,0.21086956560611725,-0.15000000596046448
